algsetting,avg,nfails,stddev
crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,303.0680613668061,17,1272.576201384966
crash-idiot5-dualp-pesteep-pertv-56-duals,305.92188284518807,18,1296.9974955165608
dualp-pesteep-psi--1.0-pertv-52-scal-geo-duals,306.5565271966525,17,1278.1015485346234
idiot-50-primals,264.5411854951187,15,1181.2494031986525
idiot-100-primals,268.4369595536959,14,1159.8218416108164
crash-idiot5-dualp-pesteep-pertv-71-duals,308.1718270571824,18,1297.7687548556744
idiot-80-primals,266.0225941422595,14,1160.5706425421881
crash-idiot5-dualp-pesteep-pertv-70-duals,293.4269316596934,16,1240.9692415699928
dualp-pesteep-psi-0.4-duals,320.5031241283124,19,1332.2922523606235
idiot-60-primals,268.9788005578799,15,1182.623815381555
